stasiun,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
-1.5932550136313832,0.7591,0.7591,0.7591,0.7591,0.7591,0.7591,0.7591
-1.3035722838802226,1.1868,1.1868,1.1868,1.1868,1.1868,1.1868,1.1868
-1.013889554129062,-0.7842,-0.8941,-1.0293,-1.0991,-1.2676,-1.3575,-1.4393
-0.7242068243779014,1.9393,1.9393,1.9393,1.9393,1.9393,1.9393,1.9393
-0.43452409462674085,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931
-0.14484136487558028,0.2834,0.2834,0.2834,0.2834,0.2834,0.2834,0.2834
0.14484136487558028,0.9221,0.9221,0.9221,0.9221,0.9221,0.9221,0.9221
0.43452409462674085,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
0.7242068243779014,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575
1.013889554129062,0.1316,0.1475,0.1642,0.1815,0.1994,0.2181,0.2374
1.3035722838802226,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208
1.5932550136313832,1.1894,1.1894,1.1894,1.1894,1.1894,1.1894,1.1894
